Name,Brand,Model,Inches,Price,Price_Category,DisplayType,Resolution,Colour,Width,Height,PPI,Original_Brand
lg 55uq7500psf 55 inch (139 cm) led 4k tv,Lg,55uq7500psf 5,55,43990,Mid-range,4K,3840x2160,Black,3840,2160,80.11,lg
lg 43ur7500psc 43 inch (109 cm) led 4k tv,Lg,43ur7500psc 4,43,32990,Mid-range,4K,3840x2160,Black,3840,2160,102.46,lg
samsung ua55cue60ak 55 inch (139 cm) led 4k tv,Samsung,ua55cue60ak 5,55,47990,Mid-range,4K,3840x2160,Black,3840,2160,80.11,samsung
samsung ua50cue60ak 50 inch (127 cm) led 4k tv,Samsung,ua50cue60ak 5,50,44990,Mid-range,4K,3840x2160,Black,3840,2160,88.12,samsung
motorola 32hdgdmbsxp 32 inch (81 cm) led hd-ready tv,Motorola,32hdgdmbsxp 3,32,11499,Affordable,HD-Ready,1366x768,Black,1366,768,48.97,motorola
cooaa 32s3u pro 32 inch (81 cm) led hd-ready tv,Cooaa,32s3u pro 3,32,8499,Budget,HD-Ready,1366x768,Black,1366,768,48.97,cooaa
lg 43up7500ptz 43 inch (109 cm) led 4k tv,Lg,43up7500ptz 4,43,36990,Mid-range,4K,3840x2160,Other,3840,2160,102.46,lg
kodak 9xpro 329x5051 32 inch (81 cm) led hd-ready tv,Kodak,9xpro 329x5051 3,32,10499,Affordable,HD-Ready,1366x768,Black,1366,768,48.97,kodak
kodak 43fhdx7xpro 43 inch (109 cm) led full hd tv,Kodak,43fhdx7xpro 4,43,23499,Affordable,Full HD,1920x1080,Black,1920,1080,51.23,kodak
samsung ua43aue65ak 43 inch (109 cm) led 4k tv,Samsung,ua43aue65ak 4,43,28990,Affordable,4K,3840x2160,Black,3840,2160,102.46,samsung
marq 32hdcdqee1b 32 inch (81 cm) led hd-ready tv,Marq,32hdcdqee1b 3,32,8399,Budget,HD-Ready,1366x768,Black,1366,768,48.97,marq
vu 43gloled 43 inch (109 cm) led 4k tv,Vu,43gloled 4,43,29999,Affordable,4K,3840x2160,Black,3840,2160,102.46,vu
acer v series ar43gr2851vqd 43 inch (109 cm) qled 4k tv,Acer,v series ar43gr2851vqd 4,43,24999,Affordable,4K,3840x2160,Black,3840,2160,102.46,acer
thomson op max 55opmaxgt9030 55 inch (139 cm) led 4k tv,Thomson,op max 55opmaxgt9030 5,55,29499,Affordable,4K,3840x2160,Black,3840,2160,80.11,thomson
hisense 75a6k 75 inch (190 cm) led 4k tv,Hisense,75a6k 7,75,94999,High-end,4K,3840x2160,Grey,3840,2160,58.74,hisense
hisense tornado 65a7k 65 inch (165 cm) led 4k tv,Hisense,tornado 65a7k 6,65,59999,Mid-range,4K,3840x2160,Grey,3840,2160,67.78,hisense
hisense 50a7h 50 inch (127 cm) led 4k tv,Hisense,50a7h 5,50,32999,Mid-range,4K,3840x2160,Black,3840,2160,88.12,hisense
kodak 55mt5022 55 inch (139 cm) qled 4k tv,Kodak,55mt5022 5,55,30999,Mid-range,4K,3840x2160,Black,3840,2160,80.11,kodak
xiaomi mi x pro (l50m8-5xin) 50 inch (127 cm) led 4k tv,Xiaomi,mi x pro (l50m8-5xin) 5,50,41999,Mid-range,LED 4K,3840x2160,Other,3840,2160,88.12,xiaomi
xiaomi mi x pro (l43m8-5xin) 43 inch (109 cm) led 4k tv,Xiaomi,mi x pro (l43m8-5xin) 4,43,32999,Mid-range,LED 4K,3840x2160,Silver,3840,2160,102.46,xiaomi
marq 32hdndqee1b 32 inch (81 cm) led hd-ready tv,Marq,32hdndqee1b 3,32,7449,Budget,HD-Ready,1366x768,Black,1366,768,48.97,marq
marq 32hdndmsvab 32 inch (81 cm) led hd-ready tv,Marq,32hdndmsvab 3,32,8999,Budget,HD-Ready,1366x768,Black,1366,768,48.97,marq
oneplus 32y1 32 inch (81 cm) led hd-ready tv,Oneplus,32y1 3,32,9999,Budget,HD-Ready,1366x768,Black,1366,768,48.97,oneplus
foxsky 32fsels-pro 32 inch (81 cm) led hd-ready tv,Foxsky,32fsels-pro 3,32,7999,Budget,HD-Ready,1366x768,Black,1366,768,48.97,foxsky
blaupunkt cybersound 43csa7121 43 inch (109 cm) led full hd tv,Blaupunkt,cybersound 43csa7121 4,43,17499,Affordable,Full HD,1920x1080,Black,1920,1080,51.23,blaupunkt
blaupunkt 42csa7707 42 inch (106 cm) led full hd tv,Blaupunkt,42csa7707 4,42,16999,Affordable,Full HD,1920x1080,Black,1920,1080,52.45,blaupunkt
sony bravia kd-32w820k 32 inch (81 cm) led hd-ready tv,Sony,bravia kd-32w820k 3,32,24999,Affordable,HD-Ready,1366x768,Black,1366,768,48.97,sony
haier le32w400g 32 inch (81 cm) led hd-ready tv,Haier,le32w400g 3,32,12490,Affordable,HD-Ready,1366x768,Black,1366,768,48.97,haier
dyanora dy-ld24h4s 24 inch (60 cm) led hd-ready tv,Dyanora,dy-ld24h4s 2,24,6999,Budget,HD-Ready,1366x768,Black,1366,768,65.3,dyanora
dyanora dy-ld32h4s 32 inch (81 cm) led hd-ready tv,Dyanora,dy-ld32h4s 3,32,8999,Budget,HD-Ready,1366x768,Black,1366,768,48.97,dyanora
xiaomi smart tv 5a pro 32 inch (81 cm) led hd-ready tv,Xiaomi,smart tv 5a pro 3,32,25999,Affordable,HD-Ready,1366x768,Black,1366,768,48.97,xiaomi
dyanora dy-ld32h1n 32 inch (81 cm) led hd-ready tv,Dyanora,dy-ld32h1n 3,32,7999,Budget,HD-Ready,1366x768,Black,1366,768,48.97,dyanora
beethosol ledatbg32hdek 32 inch (81 cm) led hd-ready tv,Beethosol,ledatbg32hdek 3,32,7399,Budget,HD-Ready,1366x768,Grey,1366,768,48.97,beethosol
sansui jswy32gshd 32 inch (81 cm) led hd-ready tv,Sansui,jswy32gshd 3,32,11990,Affordable,HD-Ready,1366x768,Black,1366,768,48.97,sansui
toshiba 65m550mp 65 inch (165 cm) qled 4k tv,Toshiba,65m550mp 6,65,56999,Mid-range,4K,3840x2160,Black,3840,2160,67.78,toshiba
sansui jsw65asuhdff 65 inch (165 cm) led 4k tv,Sansui,jsw65asuhdff 6,65,51999,Mid-range,4K,3840x2160,Black,3840,2160,67.78,sansui
sansui jsw43asuhd 43 inch (109 cm) led 4k tv,Sansui,jsw43asuhd 4,43,25999,Affordable,4K,3840x2160,Black,3840,2160,102.46,sansui
realme smart tv 32 32 inch (81 cm) led hd-ready tv,Realme,smart tv 32 3,32,9999,Budget,HD-Ready,1366x768,Black,1366,768,48.97,realme
blaupunkt cybersound g2 65csgt7024 65 inch (165 cm) led 4k tv,Blaupunkt,cybersound g2 65csgt7024 6,65,39999,Mid-range,4K,3840x2160,830 x 130 mm,3840,2160,67.78,blaupunkt
blaupunkt 50csa7007 50 inch (127 cm) led 4k tv,Blaupunkt,50csa7007 5,50,28999,Affordable,4K,3840x2160,Black,3840,2160,88.12,blaupunkt
blaupunkt 55csa7090 55 inch (139 cm) led 4k tv,Blaupunkt,55csa7090 5,55,32999,Mid-range,4K,3840x2160,Black,3840,2160,80.11,blaupunkt
lg oled65a2psa 65 inch (165 cm) oled 4k tv,Lg,oled65a2psa 6,65,149990,Premium,4K,3840x2160,Black,3840,2160,67.78,lg
infinix 43x3in 43 inch (109 cm) led full hd tv,Infinix,43x3in 4,43,16999,Affordable,Full HD,1920x1080,Black,1920,1080,51.23,infinix
kodak ca pro 43capro5022 43 inch (109 cm) led 4k tv,Kodak,ca pro 43capro5022 4,43,23999,Affordable,4K,3840x2160,Black,3840,2160,102.46,kodak
xiaomi mi tv 4a horizon 40 inch (101 cm) led full hd tv,Xiaomi,mi tv 4a horizon 4,40,29999,Affordable,Full HD,1920x1080,Black,1920,1080,55.07,xiaomi
panasonic viera th-40hs450dx 40 inch (101 cm) led full hd tv,Panasonic,viera th-40hs450dx 4,40,13999,Affordable,Full HD,1920x1080,Black,1920,1080,55.07,panasonic
panasonic th-65mx660dx 65 inch (165 cm) led 4k tv,Panasonic,th-65mx660dx 6,65,64990,High-end,4K,3840x2160,Black,3840,2160,67.78,panasonic
panasonic th-55mx660dx 55 inch (139 cm) led 4k tv,Panasonic,th-55mx660dx 5,55,42990,Mid-range,4K,3840x2160,Black,3840,2160,80.11,panasonic
adsun a-3200n 32 inch (81 cm) led hd-ready tv,Adsun,a-3200n 3,32,6789,Budget,HD-Ready,1366x768,Black,1366,768,48.97,adsun
adsun a-3200f/n 32 inch (81 cm) led hd-ready tv,Adsun,a-3200f/n 3,32,7200,Budget,HD-Ready,1366x768,Black,1366,768,48.97,adsun
compaq hueq x cqv43fds 43 inch (109 cm) led full hd tv,Compaq,hueq x cqv43fds 4,43,14999,Affordable,Full HD,1920x1080,Black,1920,1080,51.23,compaq
beethosol ledatvbg2483hd17-tp 24 inch (60 cm) led hd-ready tv,Beethosol,ledatvbg2483hd17-tp 2,24,5499,Budget,HD-Ready,1366x768,Black,1366,768,65.3,beethosol
beethosol ledstvbg3285hd27-ek 32 inch (81 cm) led hd-ready tv,Beethosol,ledstvbg3285hd27-ek 3,32,8249,Budget,HD-Ready,1366x768,Grey,1366,768,48.97,beethosol
foxsky 55fs-vs 55 inch (139 cm) led 4k tv,Foxsky,55fs-vs 5,55,26499,Affordable,4K,3840x2160,Black,3840,2160,80.11,foxsky
motorola revou 2 43fhdadmvvee 43 inch (109 cm) led full hd tv,Motorola,revou 2 43fhdadmvvee 4,43,22327,Affordable,Full HD,1920x1080,Silver,1920,1080,51.23,motorola
samsung ua65aue60ak 65 inch (165 cm) led 4k tv,Samsung,ua65aue60ak 6,65,80490,High-end,4K,3840x2160,Black,3840,2160,67.78,samsung
lg 32lm565bpta 32 inch (81 cm) led hd-ready tv,Lg,32lm565bpta 3,32,13499,Affordable,HD-Ready,1366x768,Black,1366,768,48.97,lg
sansui neo jswy32cshd 32 inch (81 cm) led hd-ready tv,Sansui,neo jswy32cshd 3,32,10769,Affordable,HD-Ready,1366x768,Black,1366,768,48.97,sansui
sens sens32wygshd 32 inch (81 cm) led hd-ready tv,Sens,sens32wygshd 3,32,7999,Budget,HD-Ready,1366x768,Black,1366,768,48.97,sens
xiaomi redmi smart fire tv 32 inch (81 cm) led hd-ready tv,Xiaomi,redmi smart fire tv 3,32,12499,Affordable,HD-Ready,1366x768,Black,1366,768,48.97,xiaomi
sansui jsw43asfhd 43 inch (109 cm) led full hd tv,Sansui,jsw43asfhd 4,43,22500,Affordable,Full HD,1920x1080,Black,1920,1080,51.23,sansui
samsung ua32t4010ar 32 inch (81 cm) led hd-ready tv,Samsung,ua32t4010ar 3,32,16290,Affordable,HD-Ready,1366x768,Black,1366,768,48.97,samsung
lg lx1 pose 55lx1qpsa 55 inch (139 cm) oled evo 4k tv,Lg,lx1 pose 55lx1qpsa 5,55,149990,Premium,EVO 4K,3840x2160,Other,3840,2160,80.11,lg
lg 32lq645bpta 32 inch (81 cm) led hd-ready tv,Lg,32lq645bpta 3,32,17999,Affordable,HD-Ready,1366x768,Black,1366,768,48.97,lg
nokia 55uhdaqndt5q 55 inch (139 cm) qled 4k tv,Nokia,55uhdaqndt5q 5,55,54999,Mid-range,4K,3840x2160,Black,3840,2160,80.11,nokia
motorola 50uhdadmrs7p 50 inch (127 cm) led 4k tv,Motorola,50uhdadmrs7p 5,50,35999,Mid-range,4K,3840x2160,Black,3840,2160,88.12,motorola
sens dwinci sens65wgsqled 65 inch (165 cm) qled 4k tv,Sens,dwinci sens65wgsqled 6,65,39999,Mid-range,4K,3840x2160,Black,3840,2160,67.78,sens
sens dwinci sens55wgsqled 55 inch (139 cm) qled 4k tv,Sens,dwinci sens55wgsqled 5,55,31999,Mid-range,4K,3840x2160,Black,3840,2160,80.11,sens
haier l50eg 50 inch (127 cm) led 4k tv,Haier,l50eg 5,50,39990,Mid-range,4K,3840x2160,Grey,3840,2160,88.12,haier
onida nexg 65uig 65 inch (165 cm) led 4k tv,Onida,nexg 65uig 6,65,45999,Mid-range,4K,3840x2160,Black,3840,2160,67.78,onida
samsung qa55qn90bak 55 inch (139 cm) neo qled 4k tv,Samsung,qa55qn90bak 5,55,184990,Premium,QLED 4K,3840x2160,Other,3840,2160,80.11,samsung
acer ar43ap2851udfl 43 inch (109 cm) led 4k tv,Acer,ar43ap2851udfl 4,43,34990,Mid-range,4K,3840x2160,Black,3840,2160,102.46,acer
dyanora dy-ld32h2s 32 inch (81 cm) led hd-ready tv,Dyanora,dy-ld32h2s 3,32,8299,Budget,HD-Ready,1366x768,Black,1366,768,48.97,dyanora
candy ca32c9 32 inch (81 cm) led hd-ready tv,Candy,ca32c9 3,32,10990,Affordable,HD-Ready,1366x768,Black,1366,768,48.97,candy
samsung ua55bu8570u 55 inch (139 cm) led 4k tv,Samsung,ua55bu8570u 5,55,78990,High-end,4K,3840x2160,Black,3840,2160,80.11,samsung
sansui jsw32ashd 32 inch (81 cm) led hd-ready tv,Sansui,jsw32ashd 3,32,10999,Affordable,HD-Ready,1366x768,Black,1366,768,48.97,sansui
sony bravia xr-55a80l 55 inch (139 cm) oled 4k tv,Sony,bravia xr-55a80l 5,55,180490,Premium,4K,3840x2160,Black,3840,2160,80.11,sony
sony bravia xr-77a80l 77 inch (195 cm) oled 4k tv,Sony,bravia xr-77a80l 7,77,446490,Luxury,4K,3840x2160,Black,3840,2160,57.22,sony
samsung ua43bu8570u 43 inch (109 cm) led 4k tv,Samsung,ua43bu8570u 4,43,51990,Mid-range,4K,3840x2160,Black,3840,2160,102.46,samsung
samsung qa65qn800ck 65 inch (165 cm) neo qled 8k uhd tv,Samsung,qa65qn800ck 6,65,364990,Luxury,QLED 8K UHD,7680x4320,Other,7680,4320,135.56,samsung
samsung qa75qn800bk 75 inch (190 cm) neo qled 8k uhd tv,Samsung,qa75qn800bk 7,75,799990,Luxury,QLED 8K UHD,7680x4320,Other,7680,4320,117.49,samsung
samsung qa43q60cak 43 inch (109 cm) qled 4k tv,Samsung,qa43q60cak 4,43,62990,High-end,4K,3840x2160,Black,3840,2160,102.46,samsung
samsung qa65ls03tak 65 inch (165 cm) qled 4k tv,Samsung,qa65ls03tak 6,65,138490,Premium,4K,3840x2160,Black,3840,2160,67.78,samsung
lg oled55g2psa 55 inch (139 cm) oled evo 4k tv,Lg,oled55g2psa 5,55,144990,Premium,EVO 4K,3840x2160,Black,3840,2160,80.11,lg
samsung ua50cu8000k 50 inch (127 cm) led 4k tv,Samsung,ua50cu8000k 5,50,55290,Mid-range,4K,3840x2160,Other,3840,2160,88.12,samsung
samsung qa49ls01tak 49 inch (124 cm) qled 4k tv,Samsung,qa49ls01tak 4,49,89490,High-end,4K,3840x2160,Other,3840,2160,89.91,samsung
lg 32lk628bptf 32 inch (81 cm) led hd-ready tv,Lg,32lk628bptf 3,32,21899,Affordable,HD-Ready,1366x768,Black,1366,768,48.97,lg
candy ca5560cqled 55 inch (139 cm) qled 4k tv,Candy,ca5560cqled 5,55,42990,Mid-range,4K,3840x2160,Black,3840,2160,80.11,candy
kevin kn32a1 32 inch (81 cm) led hd-ready tv,Kevin,kn32a1 3,32,7999,Budget,HD-Ready,1366x768,Black,1366,768,48.97,kevin
xiaomi mi tv 4a pro 32 inch (81 cm) led hd-ready tv,Xiaomi,mi tv 4a pro 3,32,16989,Affordable,HD-Ready,1366x768,Black,1366,768,48.97,xiaomi
xiaomi smart tv 5a 40 inch (101 cm) led full hd tv,Xiaomi,smart tv 5a 4,40,20999,Affordable,Full HD,1920x1080,Black,1920,1080,55.07,xiaomi
xiaomi mi tv 4a pro 43 inch (109 cm) led full hd tv,Xiaomi,mi tv 4a pro 4,43,21499,Affordable,Full HD,1920x1080,Black,1920,1080,51.23,xiaomi
realme smart tv x 32 inch (81 cm) led hd-ready tv,Realme,smart tv x 3,32,12599,Affordable,HD-Ready,1366x768,Black,1366,768,48.97,realme
samsung ua32t4340ak 32 inch (81 cm) led hd-ready tv,Samsung,ua32t4340ak 3,32,17490,Affordable,HD-Ready,1366x768,Black,1366,768,48.97,samsung
xiaomi smart tv x series 50 inch (127 cm) led 4k tv,Xiaomi,smart tv x series 5,50,34999,Mid-range,4K,3840x2160,Black,3840,2160,88.12,xiaomi
xiaomi x series l43m8-a2in 43 inch (109 cm) led 4k tv,Xiaomi,x series l43m8-a2in 4,43,28999,Affordable,4K,3840x2160,Black,3840,2160,102.46,xiaomi
xiaomi x series l55m8-a2in 55 inch (139 cm) led 4k tv,Xiaomi,x series l55m8-a2in 5,55,36999,Mid-range,4K,3840x2160,Black,3840,2160,80.11,xiaomi
xiaomi smart tv x series 55 inch (139 cm) led 4k tv,Xiaomi,smart tv x series 5,55,39999,Mid-range,4K,3840x2160,Black,3840,2160,80.11,xiaomi
thomson fa series 40rt1033 40 inch (101 cm) led full hd tv,Thomson,fa series 40rt1033 4,40,14999,Affordable,Full HD,1920x1080,Black,1920,1080,55.07,thomson
thomson 40path7777 40 inch (101 cm) led full hd tv,Thomson,40path7777 4,40,16999,Affordable,Full HD,1920x1080,Black,1920,1080,55.07,thomson
thomson 42path2121 42 inch (106 cm) led full hd tv,Thomson,42path2121 4,42,15999,Affordable,Full HD,1920x1080,Black,1920,1080,52.45,thomson
thomson 43path0009 43 inch (109 cm) led full hd tv,Thomson,43path0009 4,43,17999,Affordable,Full HD,1920x1080,Black,1920,1080,51.23,thomson
xiaomi x series l65m8-a2in 65 inch (165 cm) led 4k tv,Xiaomi,x series l65m8-a2in 6,65,59999,Mid-range,4K,3840x2160,Black,3840,2160,67.78,xiaomi
xiaomi mi tv 4a horizon 32 inch (81 cm) led hd-ready tv,Xiaomi,mi tv 4a horizon 3,32,16300,Affordable,HD-Ready,1366x768,Black,1366,768,48.97,xiaomi
xiaomi mi tv 4a horizon 43 inch (109 cm) led full hd tv,Xiaomi,mi tv 4a horizon 4,43,31999,Mid-range,Full HD,1920x1080,Black,1920,1080,51.23,xiaomi
thomson 40m4099 40 inch (101 cm) led full hd tv,Thomson,40m4099 4,40,19999,Affordable,Full HD,1920x1080,Black,1920,1080,55.07,thomson
thomson 24tm2490 24 inch (60 cm) led hd-ready tv,Thomson,24tm2490 2,24,6299,Budget,HD-Ready,1366x768,Black,1366,768,65.3,thomson
thomson 32tm3290 32 inch (81 cm) led hd-ready tv,Thomson,32tm3290 3,32,7999,Budget,HD-Ready,1366x768,Black,1366,768,48.97,thomson
kodak 9xpro 439x5081 43 inch (109 cm) led full hd tv,Kodak,9xpro 439x5081 4,43,16999,Affordable,Full HD,1920x1080,70 x 110 mm,1920,1080,51.23,kodak
kodak 40fhdx7xpro 40 inch (101 cm) led full hd tv,Kodak,40fhdx7xpro 4,40,15999,Affordable,Full HD,1920x1080,Black,1920,1080,55.07,kodak
kodak 42fhdx7xpro 42 inch (106 cm) led full hd tv,Kodak,42fhdx7xpro 4,42,15999,Affordable,Full HD,1920x1080,Black,1920,1080,52.45,kodak
iffalcon iff65u62 65 inch (165 cm) led 4k tv,Iffalcon,iff65u62 6,65,39999,Mid-range,4K,3840x2160,Black,3840,2160,67.78,iffalcon
samsung crystal vision ua55cue70akl 55 inch (139 cm) led 4k tv,Samsung,crystal vision ua55cue70akl 5,55,46990,Mid-range,4K,3840x2160,Other,3840,2160,80.11,samsung
samsung ua55aue65ak 55 inch (139 cm) led 4k tv,Samsung,ua55aue65ak 5,55,42990,Mid-range,4K,3840x2160,Black,3840,2160,80.11,samsung
samsung crystal vision ua65cue70akl 65 inch (165 cm) led 4k tv,Samsung,crystal vision ua65cue70akl 6,65,71990,High-end,4K,3840x2160,Other,3840,2160,67.78,samsung
iffalcon iff40s53 40 inch (101 cm) led full hd tv,Iffalcon,iff40s53 4,40,14990,Affordable,Full HD,1920x1080,Black,1920,1080,55.07,iffalcon
kodak 32hdx7xpro 32 inch (81 cm) led hd-ready tv,Kodak,32hdx7xpro 3,32,9499,Budget,HD-Ready,1366x768,Black,1366,768,48.97,kodak
samsung ua65aue70ak 65 inch (165 cm) led 4k tv,Samsung,ua65aue70ak 6,65,84490,High-end,4K,3840x2160,Black,3840,2160,67.78,samsung
samsung ua58aue70ak 58 inch (147 cm) led 4k tv,Samsung,ua58aue70ak 5,58,49990,Mid-range,4K,3840x2160,Black,3840,2160,75.96,samsung
samsung ua50aue70ak 50 inch (127 cm) led 4k tv,Samsung,ua50aue70ak 5,50,44490,Mid-range,4K,3840x2160,Black,3840,2160,88.12,samsung
kodak 9xpro 429x5071 42 inch (106 cm) led full hd tv,Kodak,9xpro 429x5071 4,42,15499,Affordable,Full HD,1920x1080,Black,1920,1080,52.45,kodak
acer i series ar32ar2841hdfl 32 inch (81 cm) led hd-ready tv,Acer,i series ar32ar2841hdfl 3,32,17999,Affordable,HD-Ready,1366x768,Black,1366,768,48.97,acer
acer i series ar50ar2851udfl 50 inch (127 cm) led 4k tv,Acer,i series ar50ar2851udfl 5,50,28999,Affordable,4K,3840x2160,Black,3840,2160,88.12,acer
acer i series ar55ar2851udfl 55 inch (139 cm) led 4k tv,Acer,i series ar55ar2851udfl 5,55,35999,Mid-range,4K,3840x2160,Black,3840,2160,80.11,acer
realme smart tv neo 32 inch (81 cm) led hd-ready tv,Realme,smart tv neo 3,32,13999,Affordable,HD-Ready,1366x768,Black,1366,768,48.97,realme
xiaomi a series l32m8-5ain 32 inch (81 cm) led hd-ready tv,Xiaomi,a series l32m8-5ain 3,32,12499,Affordable,HD-Ready,1366x768,Black,1366,768,48.97,xiaomi
thomson oathpro max (65opmax9033) 65 inch (165 cm) led 4k tv,Thomson,oathpro max (65opmax9033) 6,65,39999,Mid-range,LED 4K,3840x2160,"Black,Other",3840,2160,67.78,thomson
thomson 50opmax9077 50 inch (127 cm) led 4k tv,Thomson,50opmax9077 5,50,26999,Affordable,4K,3840x2160,Black,3840,2160,88.12,thomson
thomson 75 oathpro 2121 75 inch (190 cm) led 4k tv,Thomson,75 oathpro 2121 7,75,77999,High-end,4K,3840x2160,Black,3840,2160,58.74,thomson
thomson 65 oathpro 2020 65 inch (165 cm) led 4k tv,Thomson,65 oathpro 2020 6,65,53837,Mid-range,4K,3840x2160,Black,3840,2160,67.78,thomson
thomson 43 oathpro 2000 43 inch (109 cm) led 4k tv,Thomson,43 oathpro 2000 4,43,21999,Affordable,4K,3840x2160,Black,3840,2160,102.46,thomson
samsung ua43cue60ak 43 inch (109 cm) led 4k tv,Samsung,ua43cue60ak 4,43,33990,Mid-range,4K,3840x2160,Black,3840,2160,102.46,samsung
samsung ua43aue60ak 43 inch (109 cm) led 4k tv,Samsung,ua43aue60ak 4,43,33003,Mid-range,4K,3840x2160,Black,3840,2160,102.46,samsung
samsung ua50aue60ak 50 inch (127 cm) led 4k tv,Samsung,ua50aue60ak 5,50,40490,Mid-range,4K,3840x2160,Black,3840,2160,88.12,samsung
samsung ua65cue60ak 65 inch (165 cm) led 4k tv,Samsung,ua65cue60ak 6,65,69990,High-end,4K,3840x2160,Black,3840,2160,67.78,samsung
thomson alpha 40alpha009bl 40 inch (101 cm) led full hd tv,Thomson,alpha 40alpha009bl 4,40,13999,Affordable,Full HD,1920x1080,Black,1920,1080,55.07,thomson
vu 65pm 65 inch (165 cm) led 4k tv,Vu,65pm 6,65,57999,Mid-range,4K,3840x2160,Black,3840,2160,67.78,vu
lg 55ur7500psc 55 inch (139 cm) led 4k tv,Lg,55ur7500psc 5,55,43990,Mid-range,4K,3840x2160,Black,3840,2160,80.11,lg
lg 65ur7500psc 65 inch (165 cm) led 4k tv,Lg,65ur7500psc 6,65,61990,High-end,4K,3840x2160,Black,3840,2160,67.78,lg
lg 50ur7500psc 50 inch (127 cm) led 4k tv,Lg,50ur7500psc 5,50,40990,Mid-range,4K,3840x2160,Black,3840,2160,88.12,lg
lg 43uq7500psf 43 inch (109 cm) led 4k tv,Lg,43uq7500psf 4,43,31990,Mid-range,4K,3840x2160,Black,3840,2160,102.46,lg
xiaomi mi x pro (l55m8-5xin) 55 inch (139 cm) led 4k tv,Xiaomi,mi x pro (l55m8-5xin) 5,55,47999,Mid-range,LED 4K,3840x2160,Silver,3840,2160,80.11,xiaomi
xiaomi mi tv 5x 50 inch (127 cm) led 4k tv,Xiaomi,mi tv 5x 5,50,39999,Mid-range,4K,3840x2160,Grey,3840,2160,88.12,xiaomi
sony bravia kd-43x64l 43 inch (109 cm) led 4k tv,Sony,bravia kd-43x64l 4,43,40999,Mid-range,4K,3840x2160,Black,3840,2160,102.46,sony
sony bravia kd-55x74k 55 inch (139 cm) led 4k tv,Sony,bravia kd-55x74k 5,55,54990,Mid-range,4K,3840x2160,Black,3840,2160,80.11,sony
acer i series ar43ar2851udfl 43 inch (109 cm) led 4k tv,Acer,i series ar43ar2851udfl 4,43,23999,Affordable,4K,3840x2160,Black,3840,2160,102.46,acer
thomson 43path4545bl 43 inch (109 cm) led 4k tv,Thomson,43path4545bl 4,43,17999,Affordable,4K,3840x2160,Black,3840,2160,102.46,thomson
lg 32lm560bptc 32 inch (81 cm) led hd-ready tv,Lg,32lm560bptc 3,32,17990,Affordable,HD-Ready,1366x768,Black,1366,768,48.97,lg
lg 32lq643bpta 32 inch (81 cm) led hd-ready tv,Lg,32lq643bpta 3,32,20990,Affordable,HD-Ready,1366x768,Black,1366,768,48.97,lg
lg 55up7500ptz 55 inch (139 cm) led 4k tv,Lg,55up7500ptz 5,55,55990,Mid-range,4K,3840x2160,Other,3840,2160,80.11,lg
kodak 65ca0101 65 inch (165 cm) led 4k tv,Kodak,65ca0101 6,65,47999,Mid-range,4K,3840x2860,Black,3840,2860,73.66,kodak
kodak ca pro 55caprogt5014 55 inch (139 cm) led 4k tv,Kodak,ca pro 55caprogt5014 5,55,29499,Affordable,4K,3840x2160,Black,3840,2160,80.11,kodak
kodak ca pro 50caprogt5012 50 inch (127 cm) led 4k tv,Kodak,ca pro 50caprogt5012 5,50,25499,Affordable,4K,3840x2160,Other,3840,2160,88.12,kodak
kodak ca pro 65capro5099 65 inch (165 cm) led 4k tv,Kodak,ca pro 65capro5099 6,65,42999,Mid-range,4K,3840x2160,Other,3840,2160,67.78,kodak
kodak 55ca0909 55 inch (139 cm) led 4k tv,Kodak,55ca0909 5,55,29999,Affordable,4K,3840x2860,Black,3840,2860,87.06,kodak
kodak 75ca9099 75 inch (190 cm) led 4k tv,Kodak,75ca9099 7,75,89999,High-end,4K,3840x2160,Black,3840,2160,58.74,kodak
lg 65up7500ptz 65 inch (165 cm) led 4k tv,Lg,65up7500ptz 6,65,69990,High-end,4K,3840x2160,Other,3840,2160,67.78,lg
lg 65uq7500psf 65 inch (165 cm) led 4k tv,Lg,65uq7500psf 6,65,69990,High-end,4K,3840x2160,Black,3840,2160,67.78,lg
oneplus 65u1s 65 inch (165 cm) led 4k tv,Oneplus,65u1s 6,65,49999,Mid-range,4K,3840x2160,Black,3840,2160,67.78,oneplus
adsun a-3210s/f 32 inch (81 cm) led hd-ready tv,Adsun,a-3210s/f 3,32,8000,Budget,HD-Ready,1366x768,Black,1366,768,48.97,adsun
adsun a-2400n 24 inch (60 cm) led hd-ready tv,Adsun,a-2400n 2,24,5650,Budget,HD-Ready,1366x768,Black,1366,768,65.3,adsun
kodak 43cap5022 43 inch (109 cm) led 4k tv,Kodak,43cap5022 4,43,23999,Affordable,4K,3840x2160,Black,3840,2160,102.46,kodak
motorola 43safhdm 43 inch (109 cm) led full hd tv,Motorola,43safhdm 4,43,24999,Affordable,Full HD,1920x1080,Black,1920,1080,51.23,motorola
motorola 32safhdm 32 inch (81 cm) led hd-ready tv,Motorola,32safhdm 3,32,13999,Affordable,HD-Ready,1366x768,Black,1366,768,48.97,motorola
adsun a-2440s 24 inch (60 cm) led hd-ready tv,Adsun,a-2440s 2,24,6200,Budget,HD-Ready,1366x768,Black,1366,768,65.3,adsun
