Brand,Model,Inches,Price,Price_Category,DisplayType,PPI,outlier_flag
Kodak,ca pro 50caprogt5012 5,50,25499,Affordable,4K,88.12,0
Kodak,ca pro 65capro5099 6,65,42999,Mid-range,4K,67.78,0
Kodak,55ca0909 5,55,29999,Affordable,4K,87.06,0
Kodak,75ca9099 7,75,89999,High-end,4K,58.74,0
Lg,65up7500ptz 6,65,69990,High-end,4K,67.78,0
Lg,65uq7500psf 6,65,69990,High-end,4K,67.78,0
Oneplus,65u1s 6,65,49999,Mid-range,4K,67.78,0
Adsun,a-3210s/f 3,32,8000,Budget,HD-Ready,48.97,0
Adsun,a-2400n 2,24,5650,Budget,HD-Ready,65.3,0
Kodak,43cap5022 4,43,23999,Affordable,4K,102.46,0
Motorola,43safhdm 4,43,24999,Affordable,Full HD,51.23,0
Motorola,32safhdm 3,32,13999,Affordable,HD-Ready,48.97,0
Adsun,a-2440s 2,24,6200,Budget,HD-Ready,65.3,0
Kodak,32hdx900s 3,32,7999,Budget,HD-Ready,48.97,0
Lg,32lq576bpsa 3,32,22990,Affordable,HD-Ready,48.97,0
Nokia,43tauhdn 4,43,32999,Mid-range,4K,102.46,0
Vu,50gloled 5,50,32999,Mid-range,4K,88.12,0
Vu,55gloled 5,55,36999,Mid-range,4K,80.11,0
Vu,65gloled 6,65,55999,Mid-range,4K,67.78,0
Acer,i series ar75ar2851udfl 7,75,89999,High-end,4K,58.74,0
Blaupunkt,cybersound g2 40csg7112 4,40,14999,Affordable,Full HD,55.07,0
Blaupunkt,cybersound g2 43csg7105 4,43,16999,Affordable,Full HD,51.23,0
Samsung,ua55aue60ak 5,55,44490,Mid-range,4K,80.11,0
Blaupunkt,cybersound 40csa7809 4,40,14999,Affordable,HD-Ready,39.18,0
Blaupunkt,32csa7101 3,32,9999,Budget,HD-Ready,48.97,0
Blaupunkt,cybersound g2 series 32csg7111 3,32,10799,Affordable,HD-Ready,48.97,0
Motorola,43sauhdmg 4,43,31990,Mid-range,4K,102.46,0
Motorola,55sauhdm 5,55,39999,Mid-range,4K,80.11,0
Motorola,50sauhdm 5,50,33999,Mid-range,4K,88.12,0
Motorola,65sauhdm 6,65,64999,High-end,4K,67.78,0
Samsung,ua32te40aak 3,32,18490,Affordable,HD-Ready,48.97,0
Realme,smart tv 3,32,15500,Affordable,Full HD,68.84,0
Acer,p series ar40ar2841fdfl 4,40,16999,Affordable,Full HD,55.07,0
Samsung,ua55cu8570u 5,55,71990,High-end,4K,80.11,0
Samsung,ua43cu8570u 4,43,50490,Mid-range,4K,102.46,0
Samsung,ua65cu8570u 6,65,107990,Premium,4K,67.78,0
Kodak,24hdx100s 2,24,5999,Budget,HD-Ready,65.3,0
Kodak,50uhdx7xprobl 5,50,25999,Affordable,4K,88.12,0
Kodak,55uhdx7xprobl 5,55,27999,Affordable,4K,80.11,0
Lg,43lm5650pta 4,43,28990,Affordable,Full HD,51.23,0
Thomson,phoenix q43h1110 4,43,20999,Affordable,4K,102.46,0
Thomson,q55h1001 5,55,26999,Affordable,4K,80.11,0
Tcl,43p635 4,43,23741,Affordable,4K,102.46,0
Tcl,65p635 pro 6,65,51999,Mid-range,4K,67.78,0
Tcl,50p635 pro 5,50,33990,Mid-range,4K,88.12,0
Tcl,75p635 pro 7,75,109990,Premium,4K,58.74,0
Tcl,65p635 6,65,49990,Mid-range,4K,67.78,0
Panasonic,th-43mx660dx 4,43,29990,Affordable,4K,102.46,0
Thomson,32path0011bl 3,32,11499,Affordable,HD-Ready,48.97,0
Tcl,32s65a 3,32,17999,Affordable,HD-Ready,48.97,0
Hisense,tornado 55a7k 5,55,41999,Mid-range,4K,80.11,0
Lg,55uq8020psb 5,55,46990,Mid-range,4K,80.11,0
Lg,43uq8020psb 4,43,34990,Mid-range,4K,102.46,0
Lg,65uq8020psb 6,65,69990,High-end,4K,67.78,0
Toshiba,43v35mp 4,43,22999,Affordable,Full HD,51.23,0
Toshiba,32v35mp 3,32,12999,Affordable,HD-Ready,48.97,0
Hisense,65a7h 6,65,63248,High-end,4K,67.78,0
Tcl,43p635 pro 4,43,27990,Affordable,4K,102.46,0
Tcl,75p635 7,75,69990,High-end,4K,58.74,0
Blaupunkt,cybersound g2 55csgt7023 5,55,29999,Affordable,4K,80.11,0
Tcl,32s5400 3,32,15990,Affordable,Full HD,68.84,0
Blaupunkt,cybersound g2 50csgt7022 5,50,25999,Affordable,4K,88.12,0
Toshiba,43c350mp 4,43,23999,Affordable,4K,102.46,0
Toshiba,75c350mp 7,75,79999,High-end,4K,58.74,0
Toshiba,55c350mp 5,55,32999,Mid-range,4K,80.11,0
Toshiba,50c350mp 5,50,29999,Affordable,4K,88.12,0
Toshiba,43c350lp 4,43,27999,Affordable,4K,102.46,0
Toshiba,50c350lp 5,50,33999,Mid-range,4K,88.12,0
Toshiba,55c350lp 5,55,38668,Mid-range,4K,80.11,0
Blaupunkt,cyber sound 65csa7030 6,65,47999,Mid-range,4K,67.78,0
Blaupunkt,43csa7070 4,43,24999,Affordable,4K,102.46,0
Hisense,55a6k 5,55,31999,Mid-range,4K,80.11,0
Hisense,43a6k 4,43,27999,Affordable,4K,102.46,0
Hisense,50a6k 5,50,29999,Affordable,4K,88.12,0
Hisense,50a6h 5,50,32990,Mid-range,4K,88.12,0
Hisense,50e7k 5,50,29999,Affordable,4K,88.12,0
Hisense,43e7k 4,43,28999,Affordable,4K,102.46,0
Dyanora,dy-ld24h0n 2,24,5999,Budget,HD-Ready,65.3,0
Motorola,43sauhdm 4,43,22499,Affordable,4K,102.46,0
Dyanora,sigma dy-ld24h1s 2,24,6999,Budget,HD-Ready,65.3,0
Dyanora,dy-ld43u0s 4,43,19499,Affordable,4K,102.46,0
Hisense,43a71f 4,43,27990,Affordable,4K,102.46,0
Hisense,65e7k 6,65,49999,Mid-range,4K,67.78,0
Samsung,ua43te50aak 4,43,32990,Mid-range,Full HD,51.23,0
Motorola,envision 55uhdadmxsbe 5,55,29999,Affordable,4K,80.11,0
Motorola,revou 2 32hdadmvvee 3,32,10999,Affordable,HD-Ready,48.97,0
Motorola,revou 2 55uhdadmvvge 5,55,30999,Mid-range,4K,80.11,0
Motorola,revou 2 50uhdadmvvge 5,50,27499,Affordable,4K,88.12,0
Panasonic,th-32ms660dx 3,32,14990,Affordable,HD-Ready,48.97,0
Panasonic,th-43ms660dx 4,43,27499,Affordable,HD-Ready,36.44,0
Xiaomi,mi tv q1 7,75,109999,Premium,4K,58.74,0
Lg,43lm5600ptc 4,43,32490,Mid-range,Full HD,51.23,0
Blaupunkt,quantum dot 43qd7050 4,43,21999,Affordable,4K,102.46,0
Blaupunkt,55qd7020 5,55,33999,Mid-range,4K,80.11,0
Vu,43ca 4,43,24999,Affordable,4K,102.46,0
Blaupunkt,50qd7010 5,50,28999,Affordable,4K,88.12,0
Blaupunkt,65qd7030 6,65,47999,Mid-range,4K,67.78,0
Xiaomi,mi tv q1 5,55,59999,Mid-range,4K,80.11,0
Motorola,envisionx 55uhdgqmbsgq 5,55,29999,Affordable,4K,80.11,0
Hisense,55u7h 5,55,54999,Mid-range,4K,80.11,0
Hisense,65u7h 6,65,76999,High-end,4K,67.78,0
Sony,bravia kd-55x80aj 5,55,65999,High-end,4K,80.11,0
Lg,43uq7550psf 4,43,34990,Mid-range,4K,102.46,0
Lg,55uq7550psf 5,55,47776,Mid-range,4K,80.11,0
Motorola,envisionx 65uhdgqmbsgq 6,65,43999,Mid-range,4K,67.78,0
Beethosol,ledstvbg3284hd27-dn 3,32,8049,Budget,HD-Ready,48.97,0
Dyanora,dy-ld50u1s 5,50,26499,Affordable,4K,88.12,0
Beethosol,ledsmtbg4389fhdz37-dn 4,43,15149,Affordable,Full HD,51.23,0
Beethosol,atvbg24hdek 2,24,5299,Budget,HD-Ready,65.3,0
Marq,24hdndqppab 2,24,5499,Budget,HD-Ready,65.3,0
Compaq,hueq x cqv55ax1ud 5,55,48999,Mid-range,4K,80.11,0
Compaq,hueq x cq4300fhdab 4,43,14999,Affordable,Full HD,51.23,0
Xiaomi,mi tv 4x 6,65,54999,Mid-range,4K,67.78,0
Hisense,75a6h 7,75,99999,High-end,4K,58.74,0
Motorola,envisionx 43fhdgdmbsxp 4,43,16999,Affordable,Full HD,51.23,0
Motorola,envisionx 40fhdgdmbsxp 4,40,18999,Affordable,Full HD,55.07,0
Motorola,envisionx 32hdgdmwsbe 3,32,11999,Affordable,HD-Ready,48.97,0
Sens,pikaso sens55wasuhd 5,55,25999,Affordable,4K,80.11,0
Sens,sens43wasuhd 4,43,19999,Affordable,4K,102.46,0
Sony,bravia kd-55x80j 5,55,74890,High-end,4K,80.11,0
Samsung,the frame qa65ls03bak 6,65,134990,Premium,4K,67.78,0
Samsung,the frame qa55ls03bak 5,55,99990,High-end,4K,80.11,0
Samsung,the frame qa50ls03bak 5,50,79990,High-end,4K,88.12,0
Tcl,43t6g 4,43,28990,Affordable,4K,102.46,0
Tcl,50t6g 5,50,33990,Mid-range,4K,88.12,0
Lg,43up7720pty 4,43,37070,Mid-range,4K,102.46,0
Toshiba,55m550lp 5,55,39999,Mid-range,4K,80.11,0
Toshiba,65m550lp 6,65,56999,Mid-range,4K,67.78,0
Hisense,70a71f 7,70,91999,High-end,4K,62.94,0
Acer,h series ar43ar2851udpro 4,43,36990,Mid-range,4K,102.46,0
Kodak,50mt5011 5,50,28999,Affordable,4K,88.12,0
Kodak,65mt5033 6,65,46999,Mid-range,4K,67.78,0
Lg,55up7720pty 5,55,51999,Mid-range,4K,80.11,0
Lg,65up7720pty 6,65,74990,High-end,4K,67.78,0
Thomson,43tm4377 4,43,27999,Affordable,4K,102.46,0
Acer,i series ar65gr2851udfl 6,65,50999,Mid-range,4K,67.78,0
Acer,i series ar75gr2851udfl 7,75,79999,High-end,4K,58.74,0
Marq,24hdcdqee1b 2,24,7099,Budget,HD-Ready,65.3,0
Marq,43fhdcdqee1b 4,43,15249,Affordable,Full HD,51.23,0
Beethosol,ledstvbg3273hd27-dn 3,32,8049,Budget,HD-Ready,48.97,0
Motorola,envisionx 43uhdgdmbsxp 4,43,22999,Affordable,4K,102.46,0
Sony,bravia kd-55x75k 5,55,60980,High-end,4K,80.11,0
Acer,v series ar50gr2851vqd 5,50,30999,Mid-range,4K,88.12,0
Tcl,55c715 5,55,54990,Mid-range,4K,80.11,0
Tcl,50c715 5,50,47759,Mid-range,4K,88.12,0
Motorola,envisionx 86uhdadmbs5e 8,86,119999,Premium,4K,51.23,0
Motorola,envisionx 70uhdgdmbs5e 7,70,59999,Mid-range,4K,62.94,0
Motorola,envisionx 65uhdgdmbsxp 6,65,41999,Mid-range,4K,67.78,0
Motorola,envisionx 50uhdgdmbsxp 5,50,24999,Affordable,4K,88.12,0
Motorola,55uhdgdmbsxp 5,55,31999,Mid-range,4K,80.11,0
Toshiba,55m550mp 5,55,50999,Mid-range,4K,80.11,0
Hisense,43u6k 4,43,24999,Affordable,4K,102.46,0
Tcl,43c645 4,43,32990,Mid-range,4K,102.46,0
Tcl,65c645 6,65,71990,High-end,4K,67.78,0
Tcl,50c645 5,50,35990,Mid-range,4K,88.12,0
Tcl,55c645 5,55,42990,Mid-range,4K,80.11,0
Sony,bravia kd-43x75k 4,43,47990,Mid-range,4K,102.46,0
Hisense,55u6k 5,55,39999,Mid-range,4K,80.11,0
Hisense,65u6k 6,65,56999,Mid-range,4K,67.78,0
Sony,bravia kd-65x7400h 6,65,76800,High-end,4K,67.78,0
Sansui,jsw55asuhd 5,55,34199,Mid-range,4K,80.11,0
Tcl,l43s6500fs 4,43,26732,Affordable,Full HD,51.23,0
Hisense,55e7k 5,55,34999,Mid-range,4K,80.11,0
Sansui,jsw50gsuhd 5,50,31999,Mid-range,4K,88.12,0
Foxsky,40fsfhs 4,40,12499,Affordable,Full HD,55.07,0
Tcl,55c635 5,55,49490,Mid-range,4K,80.11,0
Tcl,43c635 4,43,39210,Mid-range,Full HD,51.23,0
Sansui,jsw70gsuhdff 7,70,69999,High-end,4K,62.94,0
Sens,32wcshd 3,32,7499,Budget,HD-Ready,48.97,0
Samsung,qa50ls03aak 5,50,75990,High-end,4K,88.12,0
Tcl,50c635 5,50,44990,Mid-range,4K,88.12,0
Motorola,43uhdadmrs3p 4,43,29999,Affordable,4K,102.46,0
Tcl,65t6g 6,65,54990,Mid-range,4K,67.78,0
Samsung,qa55qe1cakl 5,55,65990,High-end,4K,80.11,0
Acer,ar43gt2851udfl 4,43,24999,Affordable,4K,102.46,0
Infinix,55w1 5,55,37999,Mid-range,4K,80.11,0
Infinix,65w1 6,65,47999,Mid-range,4K,67.78,0
Tcl,85p745 8,85,157990,Premium,4K,51.83,0
Iffalcon,iff43q73 4,43,22999,Affordable,4K,102.46,0
Iffalcon,iff50q73 5,50,31999,Mid-range,4K,88.12,0
Motorola,65uhdadmrs7p 6,65,54999,Mid-range,4K,67.78,0
Tcl,55p615 5,55,36399,Mid-range,4K,80.11,0
Tcl,50p715 5,50,45000,Mid-range,4K,88.12,0
Iffalcon,iff55q73 5,55,33999,Mid-range,4K,80.11,0
Iffalcon,iff65q73 6,65,49999,Mid-range,4K,67.78,0
Sony,bravia kd-55x80k 5,55,73990,High-end,4K,80.11,0
Sony,bravia kd-65x80k 6,65,94990,High-end,4K,67.78,0
Sony,bravia kd-43x80k 4,43,62990,High-end,4K,102.46,0
Sony,bravia kd-50x80k 5,50,75990,High-end,4K,88.12,0
Sony,bravia xr-55x90k 5,55,104490,Premium,4K,80.11,0
Sony,bravia xr-75x90k 7,75,249990,Luxury,4K,58.74,1
Croma,crel032hof024601 3,32,12990,Affordable,HD-Ready,48.97,0
Sony,bravia kd-55x75l 5,55,61999,High-end,4K,80.11,0
Foxsky,32fsn 3,32,6999,Budget,Full HD,48.97,0
Sony,bravia klv-43w672g 4,43,43200,Mid-range,Full HD,51.23,0
Hisense,65u7k 6,65,84999,High-end,LED 4K,67.78,0
Kodak,32se5001bl 3,32,8499,Budget,HD-Ready,48.97,0
Kodak,24se5002 2,24,6399,Budget,HD-Ready,65.3,0
Sansui,jsw40asfhd 4,40,18999,Affordable,Full HD,55.07,0
Lg,65nano73sqa 6,65,75990,High-end,4K,67.78,0
Sony,bravia kd-65x75l 6,65,79990,High-end,4K,67.78,0
Toshiba,55m650mp 5,55,49999,Mid-range,LED 4K,80.11,0
Toshiba,65m650mp 6,65,64999,High-end,LED 4K,67.78,0
Sony,bravia kd-43x80j 4,43,57990,Mid-range,4K,102.46,0
Sony,bravia kd-65x80j 6,65,94990,High-end,4K,67.78,0
Lg,43nano73tpz 4,43,38999,Mid-range,4K,102.46,0
Foxsky,43fs-vs 4,43,14999,Affordable,Full HD,51.23,0
